Номенклатура	Название номенклатуры	Код группы	Оригинальный код	Склад	Код палеты	В наличии	Зарезервировано	Доступно
00882	"Хомут ""Норма"" 25/40"	ЗЧО.МТ	"Хомут""Норма""2540"	2		9,00	0,00	9,00
009977	Смазка для торм. механизмов 4гр., 09177	РСХ.ТЦ.СМ	Смазкадляторммеханиз	1		13,00	0,00	13,00
009977	Смазка для торм. механизмов 4гр., 09177	РСХ.ТЦ.СМ	Смазкадляторммеханиз	2		18,00	0,00	18,00
0126055O	Каркас задней откидной двери	CHE.ЗЧ	13394324	2		1,00	1,00	0,00
0177227O	Надпись ASTRA 13315549	CHE.ЗЧ	13315549	2		1,00	1,00	0,00
0177238O	Эмблема 13331293	CHE.ЗЧ	13331293	2		1,00	1,00	0,00
0177465O	Эмблема 93192477	CHE.ЗЧ	93192477	2		1,00	1,00	0,00
0197794O	РЕМЕНЬ БЕЗОПАСНОСТИ В СБОРЕ БЕЗ ЗАМКА  13337411 13394798	CHE.ЗЧ	13337411	2		1,00	0,00	1,00
0205	ГРУЗ БАЛАНСИРОВОЧНЫЙ 5г (СТАЛЬНОЙ ДИСК)	РСХ.ШН	ГРУЗ БАЛАНСИРОВОЧНЫЙ	2		55,00	0,00	55,00
0210	ГРУЗ БАЛАНСИРОВОЧНЫЙ 10г. (СТАЛЬНОЙ ДИСК)	РСХ.ШН	ГРУЗ БАЛАНСИРОВОЧНЫЙ	2		168,00	1,00	167,00
0215	ГРУЗ БАЛАНСИРОВОЧНЫЙ 15г. (СТАЛЬНОЙ ДИСК)	РСХ.ШН	ГРУЗ БАЛАНСИРОВОЧНЫЙ	2		65,00	0,00	65,00
0220	ГРУЗ БАЛАНСИРОВОЧНЫЙ 20г. (СТАЛЬНОЙ ДИСК)	РСХ.ШН	ГРУЗ БАЛАНСИРОВОЧНЫЙ	2		56,00	0,00	56,00
0225	ГРУЗ БАЛАНСИРОВОЧНЫЙ 25г. (СТАЛЬНОЙ ДИСК)	РСХ.ШН	ГРУЗ БАЛАНСИРОВОЧНЫЙ	2		116,00	0,00	116,00
0230	ГРУЗ БАЛАНСИРОВОЧНЫЙ 30г. (СТАЛЬНОЙ ДИСК)	РСХ.ШН	ГРУЗ БАЛАНСИРОВОЧНЫЙ	2		123,00	0,00	123,00
0235	ГРУЗ БАЛАНСИРОВОЧНЫЙ 35г. (СТАЛЬНОЙ ДИСК)	РСХ.ШН	ГРУЗ БАЛАНСИРОВОЧНЫЙ	2		47,00	0,00	47,00
0240	ГРУЗ БАЛАНСИРОВОЧНЫЙ 40г. (СТАЛЬНОЙ ДИСК)	РСХ.ШН	ГРУЗ БАЛАНСИРОВОЧНЫЙ	2		61,00	0,00	61,00
0305	ГРУЗ БАЛАНСИРОВОЧНЫЙ 5Г. (ЛИТОЙ ДИСК)	РСХ.ШН	ГРУЗ БАЛАНСИРОВОЧНЫЙ	2		112,00	0,00	112,00
0310	ГРУЗ БАЛАНСИРОВОЧНЫЙ 10г. (ЛИТОЙ ДИСК)	РСХ.ШН	ГРУЗ БАЛАНСИРОВОЧНЫЙ	2		140,00	0,00	140,00
0315	ГРУЗ БАЛАНСИРОВОЧНЫЙ 15г. (ЛИТОЙ ДИСК)	РСХ.ШН	ГРУЗ БАЛАНСИРОВОЧНЫЙ	2		135,00	0,00	135,00
0320	ГРУЗ БАЛАНСИРОВОЧНЫЙ 20г. (ЛИТОЙ ДИСК)	РСХ.ШН	ГРУЗ БАЛАНСИРОВОЧНЫЙ	2		76,00	0,00	76,00
0325	ГРУЗ БАЛАНСИРОВОЧНЫЙ 25г. (ЛИТОЙ ДИСК)	РСХ.ШН	ГРУЗ БАЛАНСИРОВОЧНЫЙ	2		122,00	0,00	122,00
0330	ГРУЗ БАЛАНСИРОВОЧНЫЙ 30г. (ЛИТОЙ ДИСК)	РСХ.ШН	ГРУЗ БАЛАНСИРОВОЧНЫЙ	2		137,00	0,00	137,00
0335	ГРУЗ БАЛАНСИРОВОЧНЫЙ 35г. (ЛИТОЙ ДИСК)	РСХ.ШН	ГРУЗ БАЛАНСИРОВОЧНЫЙ	2		123,00	0,00	123,00
0340	ГРУЗ БАЛАНСИРОВОЧНЫЙ 40г. (ЛИТОЙ ДИСК)	РСХ.ШН	ГРУЗ БАЛАНСИРОВОЧНЫЙ	2		56,00	0,00	56,00
04748	Реле 5-ти  контактное	Доп	Реле5тиконтактное	4		55,00	0,00	55,00
054.03	Пленка на руль ПЛР-1	РСХ.ТЦ.ОБ	1-2-9-6	1		6,00	0,00	6,00
06922	"Хомут ""Норма"" 12/22"	ЗЧО.МТ	"Хомут""Норма""1222"	2		7,00	0,00	7,00
06923	"Хомут ""Норма"" 10/16"	ЗЧО.МТ	"Хомут""Норма""1016"	2		8,00	0,00	8,00
08386	"Хомут ""Норма"" 50/70"	ЗЧО.МТ	"Хомут""Норма""5070"	2		6,00	0,00	6,00
0912881O	Гайка 11514596	CHE.OP.ЗЧ	11514596	2		4,00	0,00	4,00
09129705	Втулка демпферная воздухоочистителя 09129705	CHE.ЗЧ	09129705	2		1,00	0,00	1,00
09132667	Заклепка крепления кронштейна бампера 09132667	CHE.ЗЧ	09132667	2		18,00	18,00	0,00
09176	Средство для защиты клемм аккумул. (4гр)	РСХ.ТЦ.СМ	09176	2		18,00	0,00	18,00
1000419F	ШЕСТ. ГАЙКА.	FO.ЗЧ	1000419	2		21,00	0,00	21,00
1003513F	КОЛЬО СИНХРОН.	FO.ЗЧ	1003513	2		1,00	0,00	1,00
100493	Чехол внешний вариант-2	ПП.ЗЧ	Чехолвнешнийвариант2	4		44,00	0,00	44,00
100493	Чехол внешний вариант-2	ПП.ЗЧ	Чехолвнешнийвариант2	Цех		2,00	0,00	2,00
1005400F	Гайка выпускной системы М10 (25)	FO.ЗЧ	1005400	2		7,00	1,00	6,00
1007932F	СПЕ. ЗАКЛЕПКА (20)	FO.ЗЧ	1007932	2		4,00	4,00	0,00
1008849F	ДЕРЖАТЕЛЬ (5) ->	FO.ЗЧ	1008849	2		2,00	0,00	2,00
1013800F	Масляное уплотнение первичного вала КПП	FO.ЗЧ	1013800	2		2,00	0,00	2,00
1013818F	Лампа H4, 12V-60/55W (10)	FO.ЗЧ	1013818	2		1,00	0,00	1,00
1013818F	Лампа H4, 12V-60/55W (10)	FO.ЗЧ	1013818	Вт		1,00	0,00	1,00
1013938F	Сливная пробка масляного поддона	FO.ЗЧ	1013938	2		44,00	0,00	44,00
1019243F	Кольцо стопорное (D=27 х 2.5)	FO.ЗЧ	1019243	2		2,00	2,00	0,00
1019377F	ШЕСТ. ГАЙКА. (25)	FO.ЗЧ	1019377	2		14,00	0,00	14,00
1020330F	заклепка (5)	FO.ЗЧ	1020330	2		1,00	0,00	1,00
102318L	Паста для рук ведро	РСХ.ОБ	Пастадлярук(ведро) л	2		16,00	0,00	16,00
1026679F	ПОДПРУЖ. ГАЙКА	FO.ЗЧ	1026679	2		1,00	0,00	1,00
1038216F	Держатель подшипника (10)	FO.ЗЧ	1038216	2		10,00	5,00	5,00
1041382F	ШТИФТ	FO.ЗЧ	1041382	2		2,00	0,00	2,00
1042065F	ЗАЖИМ	FO.ЗЧ	1042065	2		30,00	16,00	14,00
1060318F	ГАЙКА УДЛИНИТЕЛ	FO.ЗЧ	1060318	2		5,00	0,00	5,00
1061670F	ВТУЛКА	FO.ЗЧ	1061670	2		6,00	2,00	4,00
106295	"Хомут ""Норма"" 20/32"	ЗЧО.МТ	"Хомут""Норма""2032"	2		9,00	0,00	9,00
1063412F	ПОТАЙН. ЗАКЛ.	FO.ЗЧ	1063412	2		17,00	0,00	17,00
1064115F	КРЫШКА СТУП.КОЛ	FO.ЗЧ	1064115	2		28,00	0,00	28,00
1065055F	КОНУС	FO.ЗЧ	1065055	2		1,00	0,00	1,00
106808	Углекислота техническая балон 40л/24 кг	МЛ.РСХ.ОБ	Углекислотатехническ	Ин		2,00	0,00	2,00
1068799F	ПЫЛЕЗАЩ. КРЫШКА	FO.ЗЧ	1068799	2		4,00	0,00	4,00
1069428F	ПОДПРУЖ. ГАЙКА	FO.ЗЧ	1069428	2		4,00	0,00	4,00
107053	Вода дистилированная 1.5 л	ЖДК.ANT	107053	1		32,00	5,00	27,00
1072246F	ФИЛ. ЭЛЕМЕНТ	FO.ЗЧ	1072246	2		2,00	0,00	2,00
107336	Провод двужильный  2*0,75	Доп.ОС	Проводдвужильный2*07	2		142,00	0,00	142,00
107339	Концевой выключатель AU-30B (Евро) с резин.чехлом.	Доп.ОС	AU-30B	2		20,00	0,00	20,00
107339	Концевой выключатель AU-30B (Евро) с резин.чехлом.	Доп.ОС	AU-30B	4		33,00	0,00	33,00
1074185F	ЗАКЛЕПКА	FO.ЗЧ	1074185	2		9,00	9,00	0,00
107448	Очиститель инжектора бензин. двигателя, Wynn`s (1 л.) W76695	РСХ.ТЦ.ОЧ	107448	2		16,00	0,00	16,00
1085270F	Батарейка CR2032	FO.ЗЧ	1085270	2		1,00	0,00	1,00
1088179F	ПЕРВ.МАСЛ.ФИЛ.	FO.ЗЧ	1088179	2		7,00	0,00	7,00
1088348F	Клипса	FO.ЗЧ	1088348	2		1,00	1,00	0,00
1088534F	Кольцо крепления (5)	FO.ЗЧ	1088534	2		4,00	0,00	4,00
1088759F	БОЛТ (5)	FO.ЗЧ	1088759	2		3,00	0,00	3,00
1094599F	ПРОКЛАДКА (5)	FO.ЗЧ	1094599	2		4,00	0,00	4,00
1096277F	ВТУЛКА	FO.ЗЧ	1096277	2		1,00	0,00	1,00
1096283F	ТЕРМОСТАТ	FO.ЗЧ	1096283	2		1,00	0,00	1,00
1096825F	КОМПЛ. СИС.ВЫП.	FO.ЗЧ	1096825	2		8,00	0,00	8,00
1096830F	КОМПЛ. СИС.ВЫП.	FO.ЗЧ	1096830	2		9,00	0,00	9,00
1097215F	ПРОКЛАДКА	FO.ЗЧ	1097215	2		4,00	0,00	4,00
1098190F	Уплотнение фланца системы охлаждения (36 мм) (5)	FO.ЗЧ	1098190	2		3,00	0,00	3,00
1101464F	Колодки тормозные передние Fiesta/Fusion 2001- (CBK)	FO.ЗЧ	1101464	2		1,00	0,00	1,00
1102710F	БОЛТ (25)	FO.ЗЧ	1102710	2		21,00	0,00	21,00
1107015F	НАКОН.ТЯГИ ШПИН	FO.ЗЧ	1107015	2		1,00	1,00	0,00
1107243F	ОД. ПЕРЕКЛ.	FO.ЗЧ	1107243	Бр		1,00	0,00	1,00
1107482F	РЕЗ. УПЛОТН.	FO.ЗЧ	1107482	2		1,00	0,00	1,00
110779	Предохранитель 5 А	ЗЧО.ПР	Предохранитель 5 А	2		10,00	0,00	10,00
1109592F	ЗАЖИМ ШЛАНГА	FO.ЗЧ	1109592	2		6,00	0,00	6,00
1110586O	Гайка 11570819   замена 2064035	CHE.OP.ЗЧ	11570819	2		1,00	0,00	1,00
1117706F	БОЛТ	FO.ЗЧ	1117706	2		8,00	0,00	8,00
1118410F	УПЛОТН. ШАЙБА (5)	FO.ЗЧ	1118410	2		3,00	0,00	3,00
1119253F	Уплотнение маслозаборника	FO.ЗЧ	1119253	2		2,00	0,00	2,00
1119284F	ПРОКЛ. ВП. КОЛ.	FO.ЗЧ	1119284	2		1,00	0,00	1,00
1119421F	МАСЛ. ФИЛЬТР (10)	FO.ЗЧ	1119421	2		6,00	0,00	6,00
1119616F	Фильтр салона	FO.ЗЧ	1119616	2		3,00	0,00	3,00
112109	Паста для шиномонтажа  5 кг ПМ06	РСХ.ШН	Пастадляшиномонтажа5	1		1,00	0,00	1,00
1121106F	Фильтр салона,  >	FO.ЗЧ	1121106	2		6,00	0,00	6,00
1122540F	смазка для втулки троса	FO.ЗЧ	1122540	1		0,90	0,00	0,90
1125799F	ДЕРЖАТЕЛЬ	FO.ЗЧ	1125799	2		1,00	0,00	1,00
1126514F	Заклепка	FO.ЗЧ	1126514	2		11,00	11,00	0,00
1128983F	БУТИЛОВАЯ ЛЕНТА	FO.ЗЧ	1128983	1		3,72	0,00	3,72
1131678F	ЗАЖИМ	FO.ЗЧ	1131678	2		19,00	0,00	19,00
1132359F	ПРОКЛАДКА	FO.ЗЧ	1132359	2		4,00	0,00	4,00
1135010F	КРЫШ.МАСЛ.ГОРЛ.	FO.ЗЧ	1135010	2		1,00	0,00	1,00
1136702F	ПРОКЛАДКА	FO.ЗЧ	1136702	2		1,00	1,00	0,00
1138392F	Уплотнение впускного коллектора (10)	FO.ЗЧ	1138392	2		8,00	0,00	8,00
1140129F	Фильтр топливный, Ford	FO.ЗЧ	1140129	2		4,00	0,00	4,00
1141575F	Прокладка клапанной крышки, FORD	FO.ЗЧ	1141575	2		3,00	0,00	3,00
1141998F	ДАТЧИК ДЕТОН.	FO.ЗЧ	1141998	2		1,00	0,00	1,00
1143321F	СИЛИК.СМАЗКА	FO.ЗЧ	1143321	1		1,00	0,00	1,00
1146063F	Сливная пробка масляного поддона, FORD	FO.ЗЧ	1146063	2		1,00	0,00	1,00
1148213F	ВЫКЛЮЧАТЕЛЬ	FO.ЗЧ	1148213	2		1,00	0,00	1,00
1148214F	Предохранитель 32 Вольта, 60 AMP, желтый	FO.ЗЧ	1148214	2		4,00	0,00	4,00
1149131F	БОЛТ	FO.ЗЧ	1149131	2		1,00	0,00	1,00
1149860F	ЗАЖИМ	FO.ЗЧ	1149860	2		8,00	0,00	8,00
11515892	Болт М6 11515892	CHE.ЗЧ	11515892	2		13,00	0,00	13,00
1151825F	МАСЛООТР.КОЛП.	FO.ЗЧ	1151825	2		2,00	0,00	2,00
115554	"Набор головок 1/2""  10-32мм ударных удлиненных KingTony, 4415MP03"	ПП.ОБ	4415MP03	Цех		2,00	0,00	2,00
115665	Заклепки для заклепочника 9,6х4,8	ПП.ОБ	Заклепки для заклепо	2		1,00	0,00	1,00
11569589	Болт М8 11569589	CHE.ЗЧ	11569589	2		1,00	0,00	1,00
11570637	Винт М6 11570637	CHE.ЗЧ	11570637	2		23,00	0,00	23,00
11609508	Болт М6 11609508	CHE.ЗЧ	11609508	2		5,00	0,00	5,00
11609952	Гайка М8 11609952	CHE.ЗЧ	11609952	2		5,00	0,00	5,00
116686	Рамка под номер FAVORIT (серебро)	ОБ	РамкаподномерFAVORIT	2		186,00	26,00	160,00
118105	Шлифблок с пылеотводом малый Hockit 2, 09311	ПП.ИН.МР	09311	Ин		1,00	0,00	1,00
118107	Шлифблок с пылеотводом средний Hockit 2, 09312	ПП.ИН.МР	09312	Ин		1,00	0,00	1,00
118108	Шлифблок с пылеотводом длинный Hockit 2, 09313	ПП.ИН.МР	09313	Ин		3,00	0,00	3,00
118109	Шлифблок регулируемый Hockit 2  70*395мм, 50118	ПП.ИН.МР	50118	Ин		1,00	0,00	1,00
118168	Покрывало защитное для сварки 3M, 5919	ПП.ИН.МР	5919	ИнБр		3,00	0,00	3,00
118168	Покрывало защитное для сварки 3M, 5919	ПП.ИН.МР	5919	Цех		2,00	0,00	2,00
118572	Диспенсер для маскирующей пленки 7838, 6780	ПП.ИН.ИП	6780	Цех		1,00	0,00	1,00
118574	Диспенсер настенный для крышек, 16099	ПП.ИН.ИП	16099	Цех		1,00	0,00	1,00
118906	Стяжка-хомут 290-310мм.	Доп.ОС	Стяжкахомут300мм	2		481,00	70,00	411,00
119096	"Уплотнитель стекла лобов. ""Ssang-Yong"" Rexton 7911205000"	SY.ЗЧ.КУЗ	7911205000	2		2,00	2,00	0,00
119100	"Молдинг стекла лобов. ""Ssang-Yong"" Rexton  7912108003"	SY.ЗЧ.КУЗ	7912108003	2		2,00	2,00	0,00
119135	Саморез 19 мм острый	ЗЧО.МТ	Саморез19ммострый	2		939,00	44,00	895,00
119160	Пистолет пневм. для аэроз. и выж. герм., 8993	ПП.ИН.КР	8993	Цех		1,00	0,00	1,00
119720	Бампер задний KIA Cerato 866112F200	KIA.ЗЧ.КУЗ	866112F200	2		1,00	0,00	1,00
120034	Фильтр масл. Kia Ceed 2630035503, 2630035504 (150)	KIA.ЗЧ.ТО.ФЛМ.ГР1	2630035504	2		1,00	0,00	1,00
1206655F	МАСЛООТР.КОЛП.	FO.ЗЧ	1206655	2		2,00	0,00	2,00
1206923F	МАСЛЕНКА	FO.ЗЧ	1206923	2		31,00	0,00	31,00
1207974F	РЫЧ.ПЕРЕД.ПОДВ.	FO.ЗЧ	1207974	2		1,00	0,00	1,00
1209177F	ПР.ТУМ. ФАРА	FO.ЗЧ	1209177	2		2,00	0,00	2,00
1211101F	ЩЕТКА ОЧИСТ.  >	FO.ЗЧ	1211101	2		1,00	0,00	1,00
1211759F	Уплотнение коленчатого вала заднее	FO.ЗЧ	1211759	2		1,00	0,00	1,00
1213876F	БЛ.КОЛ. 5 ПЕР.	FO.ЗЧ	1213876	2		1,00	0,00	1,00
121704	Крыло передн. лев. KIA CERATO 663112F030	KIA.ЗЧ.КУЗ	663112F030	2		1,00	0,00	1,00
1218379F	Заглушка стартера	FO.ЗЧ	1218379	2		1,00	1,00	0,00
1219834F	ДЕТАЛЬ FORD	FO.ЗЧ	1219834	1		2,00	0,00	2,00
1220025F	Прокладка клапанной крышки головки блока цилиндров, FORD	FO.ЗЧ	1220025	2		1,00	0,00	1,00
122219	Индикатор часового типа ИЧ-10	ПП.ИН.ПР	ИЧ-10	Ин		1,00	0,00	1,00
122219	Индикатор часового типа ИЧ-10	ПП.ИН.ПР	ИЧ-10	ИнБр		1,00	0,00	1,00
1229061F	ЗАКЛЕПКА	FO.ЗЧ	1229061	2		8,00	8,00	0,00
123042	Саморез М4,2х 14 без сверла	ЗЧО.МТ	СаморезМ42х14безсвер	2		437,00	44,00	393,00
1230621F	ТОПЛ. ФИЛЬТР	FO.ЗЧ	1230621	2		1,00	1,00	0,00
1232496F	ФИЛ. ЭЛЕМЕНТ	FO.ЗЧ	1232496	2		4,00	0,00	4,00
1232496F	ФИЛ. ЭЛЕМЕНТ	FO.ЗЧ	1232496	Вт		1,00	0,00	1,00
1234431F	КОЛЬО	FO.ЗЧ	1234431	2		6,00	0,00	6,00
1237076F	Заклепки на кронштейны крышки багажника и заднего бампера	FO.ЗЧ	1237076	2		7,00	7,00	0,00
123773	Отвертка ИНТЕРСКОЛ аккумуляторная 0А-4,8	ПП.ИН.ИП	ОтверткаИНТЕРСКОЛакк	Ин		3,00	0,00	3,00
123773	Отвертка ИНТЕРСКОЛ аккумуляторная 0А-4,8	ПП.ИН.ИП	ОтверткаИНТЕРСКОЛакк	Цех		1,00	0,00	1,00
123942	Стяжка-хомут 100-140мм.	Доп.ОС	Стяжкахомут140мм	2		233,00	0,00	233,00
124851	Фиксатор внешней панели кузова Kia 877562E000	KIA.ЗЧ.КУЗ	877562E000	2		50,00	50,00	0,00
1249305167E	ВИНТ-САМОРЕЗ D=12MM	KIA.ЗЧ	1249305167E	2		30,00	30,00	0,00
1250324F	Уплотнительное кольцо сливной пробки, FORD (25)	FO.ЗЧ	1250324	2		6,00	0,00	6,00
1250490F	ВИНТ	FO.ЗЧ	1250490	2		41,00	0,00	41,00
1250657F	БОЛТ	FO.ЗЧ	1250657	2		2,00	0,00	2,00
1250990F	СПЕ. ВИНТ (5)	FO.ЗЧ	1250990	2		4,00	0,00	4,00
1251497F	КОЛПАК КОЛЕСА	FO.АКС	1251497	2		1,00	0,00	1,00
1251852F	ВИНТ (25)	FO.ЗЧ	1251852	2		19,00	0,00	19,00
1251866F	Фиксатор	FO.ЗЧ	1251866	2		16,00	0,00	16,00
1256262F	ЛИТИЕВАЯ СМАЗКА	FO.ЗЧ	1256262	1		1,00	0,00	1,00
1256965F	РЕМКОМПЛЕКТ	FO.ЗЧ	1256965	2		2,00	0,00	2,00
126663	"Уплотнитель лобового стекла Ssang Yong ""Kyron/Actyon"" 7911209000"	SY.ЗЧ.КУЗ	7911209000	2		1,00	1,00	0,00
126987	"Эмблема ""Favorit Motors"""	ОБ	"Эмблема""FavoritMotor"	2		86,00	13,00	73,00
127016	Лампа для цветоподбора PPS , 16407	ПП.ИН.МР	16407	ИнБр		2,00	0,00	2,00
127067	Смазка пластичная SHELL Gadus S3 V220C 2 (Retinax LX2) (для подшипников и крестовин) 0,4кг.	РСХ.ТЦ.СМ	Смазка пластичная SH	1		2,90	0,00	2,90
127420	Пистон крепления молдингов и бамперов Ssang Yong 7887508000	SY.ЗЧ.КУЗ	7887508000	2		2,00	0,00	2,00
127537	Переходник антенный AD-5/ 8/526 / ANT-9	ДОП.МУЛ	AD-5/ 8/526 / ANT-9	4		1,00	0,00	1,00
128153	Набор комплект из трех ремней 10/20т для вытягивания Stanzani, 900	ПП.ИН.ИП	900	Ин		1,00	0,00	1,00
128334	Cтекло правой боковины Ssang Yong 7926008012	SY.ЗЧ.КУЗ	7926008012	2		1,00	0,00	1,00
129017	Бампер передний Kia Cerato 865112F200	KIA.ЗЧ.КУЗ	865112F200	2		1,00	0,00	1,00
129287	Клипса решетки радиатора Kia All 8659028000	KIA.ЗЧ.КУЗ	8659028000	2		37,00	33,00	4,00
129717	Круг тарельчатый FLEXIDISC SSPS 50мм P040 7106-173165	МЛ.РСХ.ОБ	129717	2		3,00	0,00	3,00
129767	Подкрылок передний левый Kia Cerato 868112F000	KIA.ЗЧ.КУЗ	868112F000	2		1,00	0,00	1,00
1301104F	Крышка расширительного бачка	FO.ЗЧ	1301104	2		1,00	0,00	1,00
130151	Рычаг задней подвески SY Rodius 1513500106	SY.ЗЧ.ХОД	1513500106	2		1,00	0,00	1,00
1307093F	СВЕЧА ЗАЖ.	FO.ЗЧ	1307093	2		2,00	0,00	2,00
130822	Клипса молдинга двери задка Ssang Yong 7955808000	SY.ЗЧ.КУЗ	7955808000	2		6,00	0,00	6,00
1309484F	Прокладка приемной трубы	FO.ЗЧ	1309484	2		10,00	2,00	8,00
1310861F	ФИКСАТОР (5)	FO.ЗЧ	1310861	2		3,00	0,00	3,00
1310862F	ШТИФТ	FO.ЗЧ	1310862	2		3,00	0,00	3,00
1311157F	Масляное уплотнение первичного вала КПП	FO.ЗЧ	1311157	2		1,00	0,00	1,00
131327	"Молдинг лобового стекла SY ""Kyron/Actyon"" 7912009001 (7912009001)"	SY.ЗЧ.КУЗ	7912009001	2		1,00	1,00	0,00
1315687F	Фильтр салона	FO.ЗЧ	1315687	2		23,00	0,00	23,00
1316019F	ДЕТАЛЬ FORD	FO.ЗЧ	1316019	2		1,00	0,00	1,00
1316608F	Прокладка приемной трубы (5)	FO.ЗЧ	1316608	2		10,00	1,00	9,00
1318562F	ПЛОСКАЯ ШАЙБА (5)	FO.ЗЧ	1318562	2		2,00	0,00	2,00
1318563F	Сменный элемент топливного фильтра, FORD	FO.ЗЧ	1318563	2		1,00	0,00	1,00
1319177F	Прокладка клапанной крышки	FO.ЗЧ	1319177	2		3,00	0,00	3,00
1321128F	УПЛОТНЕНИЕ (5)	FO.ЗЧ	1321128	2		6,00	1,00	5,00
1322152F	МАСЛ. ФИЛЬТР	FO.ЗЧ	1322152	2		4,00	0,00	4,00
1324842F	ВИНТ И ШАЙБА	FO.ЗЧ	1324842	2		16,00	0,00	16,00
1326381F	Прокладка выпускного коллектора	FO.ЗЧ	1326381	2		1,00	0,00	1,00
1327549F	Датчик кислорода	FO.ЗЧ	1327549	2		1,00	0,00	1,00
132811	Перчатки белые нейлоновые КМ-538 (пара)	РСХ.ТЦ.ОБ	538	1		106,00	0,00	106,00
